111 C  23.10000 -269.20000 -16.50000  8.000 
112 T   8.20000 -276.10000 -15.60000  8.000 
113 B  46.90000 -251.10000  -2.80000 12.000 
114 C  38.50000 -251.10000  -2.80000 10.000 
115 C  35.80000 -251.10000  -5.30000 10.000 
116 C  34.00000 -249.90000 -11.40000 10.000 
117 C  25.90000 -255.20000 -13.60000  9.000 
118 C  18.80000 -251.40000 -13.60000  9.000 
119 T   2.70000 -257.40000 -18.60000  8.000 
120 C  42.30000 -240.00000  -2.80000  8.000 
121 C  41.50000 -232.20000  -2.80000  8.000 
122 C  36.90000 -221.80000  -3.30000  8.000 
123 C  38.50000 -215.60000  -3.30000  7.000 
124 B  30.50000 -206.20000  -4.90000  7.000 
125 C  28.80000 -204.90000  -9.10000  5.000 
126 C  26.60000 -203.70000  -9.10000  5.000 
127 C  25.20000 -197.30000  -9.10000  5.000 
128 C  23.00000 -199.70000 -11.90000  5.000 
129 T  23.80000 -193.90000 -11.20000  5.000 
130 C  28.50000 -201.60000  -4.90000  5.000 
131 C  22.60000 -193.20000  -4.90000  5.000 
132 C  15.90000 -185.30000  -4.90000  5.000 
133 C  12.40000 -173.10000  -4.90000  4.000 
134 C   7.50000 -165.30000  -4.90000  4.000 
135 C   7.50000 -160.00000  -9.10000  4.000 
136 C   2.10000 -150.50000  -9.10000  4.000 
137 C   2.10000 -140.00000  -5.70000  4.000 
138 T  -9.00000 -130.50000  -5.70000  4.000 
139 C  52.10000 -267.60000   4.70000 24.000 
140 B  52.90000 -274.40000   4.90000 24.000 
141 C  54.10000 -268.80000   5.40000 12.000 
142 C  57.20000 -264.90000   8.60000  8.000 
143 C  57.20000 -256.10000  13.20000  7.000 
144 C  54.40000 -256.10000  15.20000  7.000 
145 C  54.60000 -250.90000  15.20000  7.000 
146 C  57.40000 -250.20000  15.20000  6.000 
147 C  54.30000 -243.40000  15.20000  4.000 
148 T  54.30000 -238.00000  15.20000  4.000 
149 B  55.30000 -280.90000   6.40000 24.000 
150 B  60.70000 -279.00000   8.20000  9.000 
151 C  70.30000 -283.50000   8.20000  6.000 
152 C  84.30000 -280.30000   5.70000  6.000 
153 C  98.30000 -269.30000   4.50000  7.000 
154 C 108.40000 -255.70000   5.60000  7.000 
155 C 117.50000 -257.90000   5.60000  6.000 
156 C 120.00000 -255.60000   0.40000  6.000 
157 C 121.30000 -252.50000   0.40000  6.000 
158 C 131.50000 -244.50000   0.40000  6.000 
159 C 134.90000 -241.20000   0.40000  6.000 
160 C 147.60000 -237.20000  -2.40000  6.000 
161 C 151.80000 -231.00000  -2.40000  6.000 
162 C 156.00000 -230.50000  -2.40000  5.000 
163 C 157.00000 -227.10000  -2.40000  5.000 
164 C 160.20000 -226.90000  -2.40000  5.000 
165 C 161.10000 -220.10000  -2.40000  5.000 
166 C 166.10000 -219.80000  -2.40000  5.000 
167 C 167.30000 -215.30000  -5.40000  5.000 
168 C 168.60000 -215.30000  -5.40000  5.000 
169 C 172.80000 -210.30000  -7.50000  5.000 
170 C 176.60000 -208.60000  -7.50000  4.000 
171 C 178.00000 -203.40000  -7.50000  5.000 
172 C 183.30000 -203.40000 -11.50000  4.000 
173 C 187.40000 -199.00000 -11.50000  4.000 
174 C 190.40000 -197.40000 -11.50000  4.000 
175 T 190.40000 -195.80000 -11.50000  4.000 
176 C  66.20000 -279.20000   8.20000  7.000 
177 C  69.90000 -275.60000   9.10000  7.000 
178 C  75.50000 -275.20000   9.10000  7.000 
179 C  77.80000 -271.00000   9.90000  7.000 
180 C  84.00000 -269.30000   9.90000  7.000 
181 C  85.80000 -267.20000   9.90000  7.000 
182 C  91.60000 -265.80000   9.90000  7.000 
183 C  97.40000 -262.30000  11.40000  7.000 
184 C  99.90000 -259.80000  11.40000  7.000 
185 C 106.30000 -258.70000  12.80000  6.000 
186 B 112.50000 -252.50000  13.70000  6.000 
187 T 115.60000 -251.70000  13.70000  5.000 
188 C 116.00000 -249.50000  13.70000  5.000 
189 C 117.10000 -237.80000  13.70000  4.000 
190 C 126.20000 -235.60000  17.60000  4.000 
191 T 128.70000 -229.20000  15.50000  4.000 
192 C  61.10000 -292.40000   6.70000 22.000 
193 C  64.80000 -303.00000   6.70000 23.000 
194 C  65.50000 -322.30000   7.60000 23.000 
195 C  64.30000 -333.30000   4.60000 24.000 
196 B  70.60000 -350.80000  13.70000 20.000 
197 C  67.40000 -351.30000  13.70000  6.000 
198 C  62.40000 -351.30000  16.40000  6.000 
199 C  54.70000 -355.60000  16.40000  6.000 
200 C  50.20000 -360.00000  16.40000  6.000 
201 C  44.80000 -358.80000  16.40000  6.000 
202 C  39.20000 -355.20000  18.40000  5.000 
203 C  33.00000 -358.70000  18.40000  5.000 
204 C  23.00000 -360.10000  17.90000  3.000 
205 C  14.40000 -351.90000  17.90000  3.000 
206 T  21.20000 -366.80000  17.90000  3.000 
207 C  73.30000 -363.10000  13.70000 23.000 
208 C  74.20000 -371.20000  13.70000 24.000 
209 C  77.00000 -392.70000  17.20000 25.000 
210 C  79.00000 -398.50000  17.20000 21.000 
211 C  80.20000 -407.10000  17.20000 21.000 
212 C  82.20000 -413.10000  17.20000 21.000 
213 C  85.30000 -420.40000  17.20000 19.000 
214 C  87.30000 -429.00000  16.70000 19.000 
215 C  89.50000 -438.90000  16.70000 21.000 
216 C  91.00000 -445.30000  16.70000 18.000 
217 C  91.90000 -448.70000  16.90000 15.000 
218 C  94.60000 -459.90000  18.40000 19.000 
