0  1.12  12.42  91
1  1.12  12.45  79
2  1.12  8.84  67
3  1.12  5.70  58
4  1.12  25.36  52
5  1.20  2.86  27
6  1.36  7.11  24
7  2.26  2.78  17
8  4.77  1.00  14
9  7.92  2.31  13
10  11.13  1.80  11
11  13.65  3.18  9
12  14.61  6.17  6
13  14.86  3.05  0
14  14.89  3.64  3
15  13.83  2.10  6
16  10.82  4.09  8
17  8.62  3.61  12
18  6.88  4.13  16
19  4.88  7.15  20
20  4.40  5.26  27
21  4.80  3.00  33
22  5.12  3.86  36
23  1.12  8.10  39
24  1.04  6.76  47
25  1.04  8.59  54
26  1.20  6.28  63
27  1.36  7.09  69
28  1.68  10.96  76
29  1.40  10.10  87
30  1.28  5.92  97
31  5.12  6.00  39
32  4.28  10.83  45
33  4.00  7.32  56
34  4.32  8.10  64
35  1.28  3.79  72
36  1.28  5.66  75
37  1.52  4.16  81
38  1.76  3.90  85
39  1.76  11.18  89
40  1.76  6.53  100
41  1.76  5.68  107
42  1.76  6.20  113
43  1.84  6.97  119
44  1.84  5.44  126
45  1.76  9.09  131
46  1.88  12.46  140
47  1.56  10.28  153
48  1.44  9.14  163
49  4.16  13.72  72
50  4.32  9.62  85
51  4.16  12.69  95
52  3.84  4.60  108
53  3.68  9.22  112
54  3.76  9.71  122
55  4.16  5.78  131
56  1.92  7.37  137
57  1.76  4.93  144
58  1.36  6.94  149
59  1.04  4.34  156
60  0.88  3.42  161
61  0.80  4.24  164
62  0.80  3.10  168
63  0.80  5.31  171
64  0.80  6.10  177
65  0.88  4.05  183
66  1.04  7.37  187
67  1.04  7.37  194
68  0.96  5.24  202
69  0.96  3.15  207
70  1.28  4.55  149
71  0.96  4.14  154
72  0.88  6.39  158
73  0.80  6.66  164
74  0.80  9.97  171
75  0.96  4.24  158
76  0.96  4.59  162
77  1.08  11.63  167
78  1.04  4.47  178
79  0.96  13.60  183
80  0.96  5.29  196
81  0.88  5.22  202
82  0.80  8.01  207
83  0.80  4.59  215
84  0.80  4.82  220
85  0.80  4.58  224
86  0.80  7.58  229
87  0.80  11.11  237
88  0.80  6.93  248
89  0.80  9.90  255
90  0.80  6.51  265
91  0.68  9.92  271
92  0.64  4.66  281
93  0.64  9.28  286
94  0.64  3.91  295
95  0.64  16.71  299
96  0.64  5.16  316
97  0.64  7.28  321
98  3.68  4.90  137
99  3.24  10.95  142
100  3.24  15.54  153
101  2.24  9.39  168
102  1.76  3.97  178
103  1.28  6.67  182
104  1.28  7.03  188
105  1.36  7.57  195
106  1.44  5.51  203
107  1.44  7.24  209
108  1.36  7.29  216
109  1.28  16.44  223
110  1.60  8.40  182
111  1.76  8.40  190
112  1.60  3.68  199
113  1.60  6.47  202
114  1.52  9.93  209
115  1.44  8.05  219
116  1.32  17.89  227
117  1.44  12.02  190
118  1.28  7.84  202
119  1.28  11.38  210
120  1.20  6.40  221
121  1.12  12.45  228
122  0.96  4.71  240
123  0.80  2.51  245
124  0.80  6.55  247
125  0.80  4.29  254
126  0.80  5.90  258
127  0.96  5.02  240
128  0.80  10.26  245
129  0.80  10.36  256
130  0.68  12.69  266
131  0.64  9.21  279
132  0.64  6.76  288
133  0.64  10.93  295
134  0.64  11.04  305
135  0.64  14.61  317
136  3.52  8.58  168
137  3.84  6.85  177
138  1.92  5.75  184
139  1.60  5.92  190
140  1.20  9.93  195
141  1.12  3.44  205
142  1.12  5.20  209
143  1.04  2.89  214
144  0.80  7.47  217
145  0.64  5.40  224
146  3.84  7.09  184
147  1.44  6.00  191
148  1.08  10.60  197
149  0.96  14.58  208
150  1.08  17.84  222
151  1.12  16.98  240
152  1.04  9.36  257
153  0.96  6.21  266
154  0.96  3.36  272
155  0.96  12.96  276
156  0.96  4.74  289
157  0.96  13.61  294
158  0.96  7.49  307
159  0.88  4.23  315
160  0.80  3.54  319
161  0.80  3.21  322
162  0.80  6.86  326
163  0.80  5.01  332
164  0.80  5.54  337
165  0.80  1.30  343
166  0.80  6.86  344
167  0.72  4.16  351
168  0.72  5.39  355
169  0.72  6.64  361
170  0.64  6.01  367
171  0.64  3.40  373
172  0.64  1.60  377
173  1.28  5.50  197
174  1.12  5.24  202
175  1.12  5.61  208
176  1.12  4.85  213
177  1.12  6.43  218
178  1.12  2.77  225
179  1.12  5.97  227
180  1.12  6.94  233
181  1.12  3.54  240
182  1.04  6.64  244
183  0.96  8.81  250
184  0.88  3.20  259
185  0.88  4.61  259
186  0.68  11.75  264
187  0.64  10.14  276
188  0.64  7.18  286
189  3.60  12.88  191
190  3.64  11.23  204
191  3.68  19.33  215
192  3.80  11.46  234
193  3.52  20.71  246
194  0.96  3.24  267
195  0.96  5.68  270
196  0.96  8.82  275
197  0.96  6.29  284
198  0.96  5.53  291
199  0.88  6.95  296
200  0.80  7.12  303
201  0.56  10.11  310
202  0.48  11.88  320
203  0.48  16.38  332
204  3.56  12.59  267
205  3.76  8.15  279
206  3.92  21.96  287
207  3.68  6.14  309
208  3.36  8.68  315
209  3.36  6.32  324
210  3.20  7.93  330
211  3.04  8.84  338
212  3.28  10.14  347
213  3.12  6.57  357
214  2.64  3.52  364
215  2.88  11.62  367
216  3.04  10.64  379
217  2.96  9.93  390
218  3.00  10.10  400
219  2.88  8.56  410
220  2.96  11.71  418
221  3.04  8.23  430
222  2.92  13.76  438
223  2.88  9.63  452
224  2.72  6.79  462
225  2.64  2.20  468
226  3.20  10.09  471
227  3.20  9.61  481
228  2.80  6.00  490
229  2.48  5.68  496
230  2.72  8.96  502
231  2.96  9.76  511
232  3.04  6.64  521
233  2.56  9.97  527
234  1.92  3.60  537
235  1.84  5.26  541
236  1.88  12.21  546
237  1.92  9.54  558
238  1.92  5.20  568
239  1.76  8.03  573
240  1.60  19.98  581
241  1.36  9.09  601
242  1.24  15.60  610
243  1.64  15.62  626
244  1.76  6.95  641
245  1.36  4.88  648
246  0.96  8.32  653
247  0.96  8.56  662
248  0.96  3.51  670
249  0.96  4.88  674
250  0.96  5.60  678
251  0.96  5.70  684
252  0.88  5.53  690
253  0.80  15.79  695
254  0.80  3.06  711
255  0.72  5.69  714
256  1.64  19.36  648
257  1.48  12.74  668
258  1.44  3.00  680
259  1.20  11.10  683
260  1.28  7.78  695
261  1.32  11.13  702
262  1.16  10.81  713
263  1.12  10.21  724
264  1.12  14.61  734
265  1.12  11.24  749
266  1.12  12.65  760
267  1.12  13.88  773
268  1.12  9.50  787
269  1.12  2.62  796
270  1.12  18.01  799
271  1.12  9.77  817
272  1.12  11.81  827
273  1.12  18.51  839
274  1.12  8.05  857
275  1.12  12.83  865
276  1.12  17.29  878
277  0.88  10.93  895
278  0.80  5.09  906
279  0.80  4.66  911
280  0.88  7.79  916
281  0.96  6.37  924
282  0.88  4.67  930
283  0.80  5.34  935
284  0.80  7.39  940
285  1.04  11.46  947
286  1.12  4.44  959
287  0.96  6.38  963
288  0.80  6.77  970
289  0.80  2.30  977
290  0.80  7.27  979
291  0.80  5.90  986
292  0.80  7.13  992
293  0.80  6.31  999
294  0.80  9.20  1005
295  0.80  5.48  1015
296  0.80  12.56  1020
297  0.80  7.42  1033
298  0.80  7.90  1040
299  0.92  13.42  1048
300  0.88  7.33  1061
301  0.80  3.73  1069
302  0.80  14.00  1073
303  0.80  7.17  1087
304  0.80  9.30  1094
305  0.80  4.11  1103
306  0.80  3.71  1107
307  0.80  8.02  1111
308  0.80  8.70  1119
309  0.80  17.20  1128
310  0.68  10.14  1145
311  0.64  8.09  1155
312  0.64  6.00  1163
313  0.64  11.39  1169
314  0.56  8.86  1180
315  0.72  18.29  1145
316  0.64  11.88  1163
317  0.64  14.73  1175
318  0.70  24.44  1128
319  0.64  8.66  1152
320  0.64  6.53  1161
321  0.64  2.00  1167
322  0.64  6.57  1169
323  0.64  6.08  1176
